东宝兴路258弄	凯润金城	360万元	99平米	2006
四达路58弄(近四平路)	世博花园	730万元	150平米	null
赤峰路370弄曲阳路630弄	赤峰小区	245万元	69平米	1994
辉河路43弄	辉河大楼	193万元	65平米	1993
汶水东路298弄1-3号	景明花园(中环明珠)	490万元	145平米	2005
东体育会路880弄	银联花园	265万元	60平米	1994
昆明路388弄	鸿旭豪苑	520万元	135平米	2010
恒业路365弄	飘鹰公寓	360万元	100平米	2003
赤峰路404弄、东体育会路6	双东小区	170万元	37平米	1985
密云路665弄	密云花苑	320万元	118平米	2000
玉田路400弄、玉田路414	东体小区	162万元	49平米	1989
万安路1213弄1-85单号	万康小区	97万元	38平米	1995
旅顺路199弄	白金府邸	800万元	166平米	2005
凉城路489号	中虹花园丽都苑	550万元	146平米	2003
广灵四路866弄	水木年华花园	347万元	79平米	2006
车站北路715弄、车站北路7	文苑小区	98万元	40平米	1996
四平路天宝路	幸福村	200万元	63平米	1989
曲阳路163号	宏城公寓	500万元	147平米	2001
汶水东路298弄1-3号	景明花园(中环明珠)	570万元	146平米	2005
同心路1035弄/1045弄	宏苑小区	325万元	107平米	1997
曲阳路118弄	飘鹰东方花园	600万元	149平米	2003
赤峰路317弄	密一小区	220万元	61平米	1986
汶水东路510弄1-17、2	灵新小区	96万元	36平米	1989
东体育会路880弄	银联花园	265万元	60平米	1993
周家嘴路1063弄	飘鹰花苑	400万元	99平米	2002
欧阳路289弄	绿洲紫荆花园	290万元	87平米	2002
曲阳路428弄	悦华小区	280万元	92平米	1998
广灵四路572弄、凉城路46	秀苑小区	210万元	73平米	1997
株洲路399弄	宝华城市花园	430万元	89平米	2010
广粤路150弄	中虹虹韵家园	430万元	132平米	2003
汶水东路505弄、汶水东路5	东方公寓	280万元	94平米	2001
宝安路1号(近溧阳路、四平路	溧阳华府	380万元	96平米	2007
宝安路1号(近溧阳路、四平路	溧阳华府	600万元	130平米	2007
周家嘴路981弄	虹叶茗园	480万元	109平米	2003
中山北一路184号	怡景大厦	310万元	107平米	1996
赤峰路404弄、东体育会路6	双东小区	170万元	37平米	1985
通州路392弄、物华路88号	通海小区	125万元	39平米	1983
通州路188弄	香港丽园	415万元	100平米	2001
广粤路439弄	虹凉馨苑	305万元	100平米	2002
公平路469弄	虹宸易居	305万元	111平米	2003
花园路118弄	花园城	390万元	99平米	2003
水电路1013弄	水电路1013弄	91万元	35平米	1990
欧阳路289弄	绿洲紫荆花园	495万元	127平米	1998
周家嘴路981弄	虹叶茗园	362万元	101平米	2003
周家嘴路981弄	虹叶茗园	488万元	136平米	2003
通州路88弄	海泰苑	360万元	97平米	2003
飞虹路369弄	凯虹公寓	215万元	56平米	1996
飞虹路369弄	凯虹公寓	350万元	125平米	1996
周家嘴路981弄	虹叶茗园	495万元	108平米	2003
周家嘴路981弄	虹叶茗园	600万元	140平米	2003
梧州路218弄	中皇广场	450万元	130平米	2002
周家嘴路981弄	虹叶茗园	495万元	108平米	2003
通州路188弄	香港丽园	420万元	100平米	2001
飞虹路288弄	宇泰景苑	470万元	106平米	2002
公平路768弄	东方都市景苑	480万元	109平米	2002
唐山路923弄1-10号	唐山新苑	315万元	96平米	1997
飞虹路360弄	申工公寓	180万元	59平米	1996
东长治路665弄	和泰玫瑰园	450万元	115平米	null
四达路58弄(近四平路)	世博花园	420万元	80平米	null
临平路133弄	瑞虹新城二期	480万元	98平米	2006
宝安路1号(近溧阳路、四平路	溧阳华府	490万元	101平米	2007
海平路18号	白金湾	1088万元	128平米	null
邯郸路47弄	运光新村	135万元	46平米	1985
新市南路515弄	新电小区	150万元	51平米	1997
衡水路89弄	国际明佳城	368万元	92平米	2005
曲阳路820弄	八一小区	330万元	103平米	1996
东体育会路100弄	兴华公寓	280万元	77平米	1997
赤峰路404弄、东体育会路6	双东小区	240万元	53平米	1985
海伦路555弄	国贸花园	400万元	123平米	2003
宝山路888弄	虹祺花苑	430万元	113平米	1999
花园路118弄、花园路250	花园城三期	398万元	98平米	2006
凉城路465弄	博学楼	430万元	137平米	2001
广中路620弄	乾弘佳园	340万元	87平米	2003
新港路227号	中信和平家园	398万元	96平米	2011
岳州路399弄	紫虹嘉苑	295万元	81平米	2004
临平北路60弄	银欣花苑	350万元	128平米	1998
周家嘴路981弄	虹叶茗园	395万元	108平米	2003
奎照路320弄1-18号、水	海湾新苑	240万元	82平米	1998
瑞虹路383弄	瑞虹新城三期	650万元	145平米	2009
新市南路488弄1-14号	新南小区	160万元	63平米	2014
东体育会路880弄	银联花园	300万元	70平米	1998
临平路133弄	瑞虹新城二期	508万元	99平米	2006
凉城路585弄、凉城路589	锦苑小区	150万元	53平米	1992
赤峰路370弄曲阳路630弄	赤峰小区	136万元	41平米	1989
文治路8弄3-4号	文治福邸	300万元	90平米	2004
凉城路1201弄1-77单号	凉城路1201弄	125万元	49平米	1995
四平路283弄	虹临花园	480万元	143平米	1995
临平路133弄	瑞虹新城二期	520万元	112平米	2005
广灵四路365弄	广灵四路365弄	175万元	67平米	1994
西江湾路5号	冠都公寓	340万元	102平米	2002
四平路186号	国际公寓(虹口)	293万元	79平米	1997
中山北一路1100弄	北宸佳苑	310万元	90平米	2006
广灵四路广灵一村1-22号、	广灵一村	140万元	54平米	2001
赤峰路404弄、东体育会路6	双东小区	170万元	37平米	1985
衡水路89弄	国际明佳城	788万元	223平米	2005
广灵四路360弄	科兰公寓	110万元	39平米	1992
汶水东路77弄	汶水东路77弄	165万元	66平米	1991
运光路小区	运光小区	245万元	89平米	1986
车站南路198号、韶嘉路5号	虹口嘉苑	345万元	95平米	2002
黄山路77号	黄山坊	310万元	94平米	2007
凉城路139弄	中虹花园锦绣文华	460万元	131平米	2005
霍山路288号	霍山大楼	255万元	81平米	1997
中山北一路411号	翰林苑	298万元	102平米	2002
株洲路290号、株洲路258	意和家园	295万元	116平米	2002
广中路680弄1-28号	珊瑚苑	340万元	88平米	2001
吴淞路669号	申贝大厦	398万元	117平米	2002
广中路666号、株洲路388	建明小区	620万元	188平米	2000
万安路669弄	万安路669弄小区	135万元	56平米	1996
玉田路400弄、玉田路414	东体小区	167万元	49平米	1989
海伦路88弄	浦江名邸	490万元	141平米	2004
凉城路585弄、凉城路589	锦苑小区	170万元	61平米	1992
密云路471弄	密云路471弄小区	138万元	40平米	1985
玉田路220弄	密二小区	175万元	60平米	1986
密云路471弄	密云路471弄小区	128万元	40平米	1985
车站西路80弄	乐久公寓	235万元	88平米	2000
广灵四路866弄	水木年华花园	330万元	102平米	2006
广中路680弄1-28号	珊瑚苑	365万元	109平米	2002
东汉阳路309弄	名江七星城	750万元	177平米	2003
宝安路1号(近溧阳路、四平路	溧阳华府	500万元	97平米	2007
宝山路748号(宝山路海伦路	海伦国际酒店式公寓	320万元	99平米	2012
汶水东路505弄、汶水东路5	东方公寓	180万元	65平米	2014
中山北一路201-209,广	广中一村	75万元	32平米	1986
广灵四路572弄、凉城路46	秀苑小区	190万元	61平米	1996
物华路246弄	爱家豪庭	445万元	96平米	2007
玉田路400弄、玉田路414	东体小区	165万元	47平米	1985
欧阳路677弄	欧九小区	90万元	31平米	1985
天虹路(近天宝路)	瑞虹新城璟庭	360万元	78平米	2014
水电路541弄	广中三村	100万元	38平米	1958
曲阳路69弄	宏祥花苑	580万元	133平米	2002
曲阳路910号、伊敏河路99	复城国际	590万元	153平米	2009
广粤路1601弄	广裕小区	220万元	94平米	1996
纪念路555弄	欣逸家园	400万元	116平米	2006
水电路1200弄	水电路1200弄小区	100万元	36平米	1987
玉田路400弄、玉田路414	东体小区	173万元	54平米	1989
武昌路338号	豪景苑	1150万元	153平米	2013
纪念路555弄	虹口欣逸家园	310万元	97平米	2006
上海市虹口区车站北路188弄	万峰嘉苑	325万元	98平米	2002
汶水东路670号	华科公寓	145万元	52平米	1998
万安路1213弄1-85单号	万康小区	185万元	60平米	1995
奎照路320弄1-18号、水	海湾新苑	250万元	84平米	1999
曲阳路910号、伊敏河路99	复城国际	323万元	85平米	2010
天宝西路248弄	大二小区	125万元	45平米	1983
梧州路218弄	中皇广场	240万元	51平米	2002
临平路333号、天宝路181	瑞虹新城铭庭	440万元	90平米	2012
临平路133弄	瑞虹新城二期	560万元	118平米	2004
四平路480弄、四平路460	新陆花苑	265万元	73平米	1998
天宝西路241弄	优抚园	210万元	60平米	1990
海伦路88弄	浦江名邸	460万元	135平米	2004
赤峰路365弄	密三小区	155万元	47平米	1988
大连西路250弄、玉田路40	西南小区	150万元	49平米	1987
虬江支路180弄、四川北路1	玫瑰广场	475万元	121平米	2007
四达路58弄(近四平路)	世博花园	575万元	122平米	2004
凉城路210弄	广凉苑	299万元	95平米	1999
密云路665弄	密云花苑	350万元	116平米	1998
车站南路198号、韶嘉路5号	虹口嘉苑	320万元	96平米	2002
山阴路145弄	山阴路145弄小区	570万元	137平米	1945
广灵四路572弄、凉城路46	秀苑小区	330万元	110平米	1996
车站北路400弄1-45号、	星苑小区	165万元	51平米	1993
四达路58弄(近四平路)	世博花园	486万元	127平米	2008
玉田路400弄、玉田路414	东体小区	170万元	52平米	1989
周家嘴路1063弄	飘鹰花苑	420万元	104平米	2002
水电路1324弄	复旦小区	160万元	60平米	1998
北苏州路400弄	河滨大楼	1800万元	221平米	1936
峨嵋路299弄	耀江国际广场公寓	680万元	195平米	2005
广粤路150弄	中虹虹韵家园	320万元	93平米	2003
水电路191弄1-42号、水	何家宅小区	115万元	40平米	1992
通州路415弄1-10号	垦业小区	150万元	50平米	1995
东体育会路401弄	上外曲二小区	149万元	47平米	1989
赤峰路404弄、东体育会路6	双东小区	185万元	37平米	1987
恒业路388弄1-12号	恒业公寓	318万元	98平米	1998
密云路471弄	密云路471弄小区	130万元	40平米	1985
赤峰路600弄1-18号、东	邮电二村	270万元	61平米	1988
汶水东路670号	华科公寓	145万元	52平米	1998
广灵四路广灵一路	洛阳新村	130万元	53平米	1958
梧州路299弄1-11号	凯虹家园	400万元	110平米	2000
广粤路617弄	文粤家园	225万元	80平米	1997
车站北路715弄、车站北路7	文苑小区	210万元	71平米	1995
万安路1213弄1-85单号	万康小区	168万元	65平米	1995
东汉阳路338弄	宇泰公寓	320万元	99平米	2000
飞虹路288弄	宇泰景苑	550万元	143平米	2004
