宜山路691弄 宜山路691弄小区 107万元 31平米 1998
宜山路柳州路 田林十四村高层 210万元 61平米 1992
宜山路柳州路 田林十四村 265万元 73平米 1992
宜山路220弄 宜山路220弄小区 333万元 74平米 1984
宜山路408弄 南宜花苑 240万元 68平米 1995
宜山路655弄 福苑小区 265万元 71平米 1997
宜山路406弄 明辉苑 743万元 127平米 2002
宜山路701弄 宜山路701弄小区 180万元 49平米 1983
宜山路518弄近中山西路 宜山公安大楼 353万元 90平米 2003
中漕路20号、中漕路100弄 中漕小区 330万元 63平米 1992
中漕路111号 凯旋花苑 650万元 136平米 2003
中漕路38号 中原新村 260万元 38平米 1984
龙临路罗香路 长桥新村 175万元 64平米 1994
桂林路575号、桂林路585 华利公寓 285万元 91平米 1997
桂林西街15弄 长兴坊 265万元 71平米 1992
桂林南路150弄、160弄 东荡小区 233万元 71平米 1996
桂林西街47弄 长丰坊 220万元 57平米 1991
桂林西街11弄 长虹坊 265万元 74平米 1994
桂林西街30弄 长青坊 203万元 57平米 1990
桂林路625弄 田林兰桂坊 450万元 125平米 2001
桂林路505弄 怡桂苑 200万元 64平米 2000
桂林西街201弄 寿山坊 135万元 41平米 1989
桂林东街169弄1-21号、 康乐小区(徐汇) 195万元 55平米 1993
桂林东街28弄 海上名邸 595万元 143平米 2008
桂林东街51弄2-5.8-5 康强坊 290万元 78平米 1993
桂林西街85弄1-71号 寿益坊 328万元 80平米 1995
桂林路70弄21号 师大新村 265万元 70平米 1992
桂林西街358弄 康兴花园 530万元 148平米 1996
桂林西街14弄 长顺坊 192万元 54平米 1994
桂林东街218弄 康健公寓 320万元 108平米 1998
桂林西街151弄 寿昌坊 118万元 40平米 1986
桂林西街400弄 寿德坊 160万元 48平米 1994
桂林西街111弄 寿祥坊 182万元 56平米 1992
桂林东街150弄 健安坊 210万元 68平米 1991
桂林东街28弄 中星海上名邸 545万元 109平米 2008
桂林西街9号 长海坊 248万元 69平米 1995
桂林路70弄 上海师大科技园 680万元 160平米 2002
桂林路565号 明佳公寓 255万元 96平米 2005
桂林路宜山路 田林五村 140万元 36平米 1998
桂林路117弄 桂康小区 130万元 34平米 1989
云锦路50弄1-58号 华龙新苑 240万元 67平米 1994
云锦路201弄 民苑小区 188万元 48平米 2000
常熟路165弄 常熟路165弄小区 400万元 75平米 1988
常熟路85弄 常熟路85弄 320万元 60平米 1998
常熟路228弄 常熟路228弄小区 330万元 62平米 1998
虹漕南路718弄 迎春园 149万元 53平米 1996
虹漕南路99弄 金桂苑 450万元 160平米 1997
虹漕南路漕宝路 杨家桥小区 26万元 9平米 1997
虹漕南路158弄、虹漕南路6 万象园 320万元 100平米 1999
虹漕南路699弄 中星海上华庭 385万元 103平米 2004
虹漕南路300弄 市委党校家属区 435万元 108平米 1997
武康路115号 密丹公寓 960万元 108平米 1931
百花街345弄 丁香园 140万元 47平米 1992
漕东路100号 漕溪二村 200万元 60平米 2000
漕东支路111弄 佳信徐汇公寓 500万元 132平米 1998
漕东路26号 漕东公寓 320万元 100平米 2004
漕东路250号 漕溪一村 140万元 41平米 1980
漕东支路438弄 漕溪三村 125万元 35平米 1987
康强坊桂林东街51弄2-5. 康强坊 196万元 60平米 1993
龙兰路388弄(由云锦路47 云锦东方 1150万元 199平米 null
小木桥路440弄 西木小区 190万元 53平米 1982
小木桥路518弄、538弄 新湖云庭 325万元 89平米 2005
小木桥路227弄清真路 小木桥路227弄小区 170万元 45平米 1987
小木桥路224号近清真路 儿科大楼 180万元 51平米 1997
小木桥路223弄 申信大楼 680万元 186平米 1999
小木桥路101弄 小木桥路101弄小区 178万元 43平米 1995
新乐路158号 东湖公寓 820万元 147平米 1999
新乐路洋房 新乐路洋房 475万元 70平米 1948
新乐路40号 新乐路新里 620万元 100平米 1936
老沪闵路790弄 光华园 300万元 83平米 1996
老沪闵路581号、石龙路98 麦克花园 500万元 150平米 1995
老沪闵路333弄、桂林南路1 金塘小区 210万元 71平米 1996
老沪闵路706弄、710弄 楼园小区 190万元 61平米 1995
老沪闵路666弄 幽澜苑二期 850万元 190平米 2004
老沪闵路1055弄 舒城苑 435万元 152平米 2001
老沪闵路519弄,石龙路81 正南花苑 385万元 92平米 1998
老沪闵路1290弄 华建二街坊 160万元 66平米 1998
老沪闵路728弄 体育花苑 230万元 67平米 1999
老沪闵路1039弄 舒乐小区 303万元 103平米 1996
老沪闵路875弄 松风花园 431万元 162平米 2002
老沪闵路1068弄 绿洲庭苑 380万元 92平米 2008
老沪闵路604号 幽澜苑 380万元 108平米 2005
老沪闵路717弄 舒乐公寓 240万元 81平米 1996
汇站街126弄 颐峰苑 580万元 93平米 2005
秀山路4弄近乐山路 乐山六七村 150万元 34平米 1988
建国西路273号 梧桐花园 780万元 175平米 1997
建国西路223号 梵高馆 800万元 170平米 2004
建国西路212弄 建国西路212弄公房 310万元 54平米 1988
建国西路585号 泓园 2700万元 273平米 2002
建国西路585号 巴洛克宫廷 700万元 150平米 2000
建国西路嘉善路口 嘉御庭 2400万元 268平米 2013
建国西路641弄 建国西路641号老公 680万元 92平米 1940
建国西路358弄 建国西路358弄小区 240万元 35平米 1939
建国西路233弄 建国西路233弄小区 640万元 160平米 1998
建国西路619弄 建国西路619弄小区 140万元 19平米 2000
建国西路354弄 建国西路354弄小区 190万元 29平米 1932
建国西路211弄 建国西路211弄小区 300万元 49平米 1980
东安路251号(北近斜土路, 徐汇御苑 890万元 202平米 2006
东安路800号近龙华东路 海珀旭晖 1100万元 204平米 2014
东安路190弄东安路240路 振兴小区 300万元 78平米 1998
东安路149弄 四季园 550万元 145平米 2000
东安路50弄 青松小区 200万元 49平米 1995
东安路351号 东安一村 225万元 64平米 1982
东安路271弄 广汇花苑 480万元 120平米 1998
东安路364弄 东安二村 183万元 48平米 1985
建国西路506弄 懿园 800万元 100平米 1941
康健路58弄 漕河景苑 446万元 96平米 2007
康健路习勤路 康健路120弄小区 210万元 58平米 1986
康健路16弄 康惠苑 300万元 80平米 2001
康健路100弄 康健路100弄小区 210万元 61平米 1989
康健路8号 南天公寓 360万元 104平米 1997
康健路77弄 康健路77弄 160万元 39平米 1993
康健路58弄 汇成月河 455万元 101平米 2007
康健路43弄 康健路43弄小区 196万元 65平米 2000
康健路105弄 漕泾一村 135万元 34平米 1988
